Timestamp,Region,Risk_score,Risk_level
2020-03-26,Lancaster,-0.20414532244835262,0
2020-03-26,Lawndale,-1.021993967466231,0
2020-03-26,Lomita,-0.8504647702961118,0
2020-03-26,Lynwood,-0.5314692410541996,0
2020-03-26,Manhattan Beach,-0.22285632812608946,0
2020-03-26,Mar Vista,-0.6967350611869635,0
2020-03-26,Melrose,0.6457574711408957,0
2020-03-26,Miracle Mile,-1.9402638602914377,0
2020-03-26,Monterey Park,-0.5492011277447872,0
2020-03-26,North Hollywood,-0.32304462861594335,0
2020-03-26,Northridge,-0.6124378805166911,0
2020-03-26,Palms,-0.5742804670635014,0
2020-03-26,Park La Brea,-0.34427887233256077,0
2020-03-26,Pasadena,-0.2710318287456524,0
2020-03-26,Playa Vista,-8.154039463266333,0
2020-03-26,Redondo Beach,-0.3761530071632701,0
2020-03-26,Reseda,-0.5070694636790433,0
2020-03-26,San Dimas,-0.9699012850161964,0
2020-03-26,San Fernando,-1.1707876633157344,0
2020-03-26,San Pedro,-0.4437460058019395,0
2020-03-26,Santa Clarita,-0.2168177727046231,0
2020-03-26,Santa Monica,-0.12134563365799134,0
2020-03-26,Sherman Oaks,-0.32639280840290835,0
2020-03-26,South Pasadena,-1.1377742999261578,0
2020-03-26,South Whittier,-0.6046927790636777,0
2020-03-26,Stevenson Ranch,-3.028609634541081,0
2020-03-26,Studio City,-0.6490873916351295,0
2020-03-26,Sylmar,-0.5609309072746641,0
2020-03-26,Tarzana,-0.5872132388238633,0
2020-03-26,Torrance,-0.2542880824962588,0
2020-03-26,Tujunga,-1.215246067394023,0
2020-03-26,University Park,-1.3637989137136772,0
2020-03-26,Valley Glen,-0.3550793624248516,0
2020-03-26,Van Nuys,-0.36046178730338135,0
2020-03-26,Venice,-0.551021588969384,0
2020-03-26,Vermont Knolls,-1.700673798771353,0
2020-03-26,Walnut,-1.1033109343466563,0
2020-03-26,West Adams,-1.38083730095071,0
2020-03-26,West Hills,-0.7605257965874536,0
2020-03-26,West Hollywood,0.4467869239577967,0
2020-03-26,West Vernon,-211.92099463965644,0
2020-03-26,Westchester,-0.701085628820909,0
2020-03-26,Westwood,-0.501198387248679,0
2020-03-26,Whittier,-0.4489704642190047,0
2020-03-26,Winnetka,-0.6846296489762674,0
2020-03-26,Woodland Hills,-0.3536669625990039,0
2020-03-27,Alhambra,-0.36116042367128937,0
2020-03-27,Altadena,-0.6553165739154269,0
2020-03-27,Arcadia,-0.5575779144016086,0
2020-03-27,Baldwin Hills,-0.872114284479267,0
2020-03-27,Beverly Hills,-0.29976761430810106,0
2020-03-27,Beverlywood,-1.9807877196549477,0
2020-03-27,Boyle Heights,-0.30557653743965346,0
2020-03-27,Brentwood,1.202382259474913,0
2020-03-27,Burbank,-0.3486326947476848,0
2020-03-27,Calabasas,-1.0755715757303377,0
2020-03-27,Carson,-0.08794462985278545,0
2020-03-27,Castaic,-1.689399533513688,0
2020-03-27,Century City,-2.2955622308814014,0
2020-03-27,Cerritos,-0.7052472328132819,0
2020-03-27,Covina,-0.6274903498805621,0
2020-03-27,Crestview,-2.417679087257049,0
2020-03-27,Culver City,-0.6062610419244642,0
2020-03-27,Del Rey,-0.685714681317461,0
2020-03-27,Diamond Bar,-0.6658094949659125,0
2020-03-27,Downtown,-0.659265956649386,0
2020-03-27,Eagle Rock,-0.9499887020341303,0
2020-03-27,East Los Angeles,-0.2745944348711464,0
2020-03-27,Echo Park,-0.5803876874885933,0
2020-03-27,El Segundo,-1.7898579811585524,0
2020-03-27,Encino,-0.09012484092334351,0
2020-03-27,Gardena,-0.6051813824381608,0
2020-03-27,Glendale,-0.04811784161025828,0
2020-03-27,Granada Hills,-0.5120751424629176,0
2020-03-27,Hancock Park,-1.2632006487670424,0
2020-03-27,Hawthorne,-0.24613288777925094,0
2020-03-27,Hollywood,0.0719910788047083,0
2020-03-27,Hollywood Hills,-0.20523975176338324,0
2020-03-27,Inglewood,-0.2500711314711076,0
2020-03-27,Koreatown,-0.35284306354852846,0
2020-03-27,La Canada Flintridge,-1.1469151347882307,0
2020-03-27,La Mirada,-0.6600061426302628,0
2020-03-27,La Verne,-0.9970496389822069,0
2020-03-27,Lake Balboa,-1.1901195241077287,0
2020-03-27,Lakewood,-0.38847593962466326,0
2020-03-27,Lancaster,-0.11724599466910011,0
2020-03-27,Lawndale,-1.025052554198794,0
2020-03-27,Lomita,-0.6704196111218975,0
2020-03-27,Lynwood,-0.4800703262285822,0
2020-03-27,Manhattan Beach,0.06154794331087133,0
2020-03-27,Mar Vista,-0.664045230867954,0
2020-03-27,Melrose,1.5712570789226856,0
2020-03-27,Miracle Mile,-0.7453092881851152,0
2020-03-27,Montebello,-0.5388430301023174,0
2020-03-27,Monterey Park,-0.5781140629986158,0
2020-03-27,North Hollywood,-0.1549336001952416,0
2020-03-27,Northridge,-0.5888670485157305,0
2020-03-27,Palms,-0.4114471247782496,0
2020-03-27,Park La Brea,-0.30799065177563517,0
2020-03-27,Pasadena,-0.2113864701857849,0
2020-03-27,Playa Vista,-5.657665362490687,0
2020-03-27,Redondo Beach,-0.11122850009672891,0
2020-03-27,Reseda,-0.45008440408737976,0
2020-03-27,San Dimas,-1.0137069138566444,0
2020-03-27,San Fernando,-1.1801998650050902,0
2020-03-27,San Pedro,-0.4278872073191964,0
2020-03-27,Santa Clarita,-0.10810857990135042,0
2020-03-27,Santa Monica,-0.04684582945673622,0
2020-03-27,Sherman Oaks,-0.19460699012678953,0
2020-03-27,Silverlake,-0.5444839534733927,0
2020-03-27,South Pasadena,-1.1363867377392627,0
2020-03-27,South Whittier,-0.6036734104416132,0
2020-03-27,Stevenson Ranch,-2.869700102108332,0
2020-03-27,Studio City,-0.5247912225966007,0
2020-03-27,Sun Valley,-0.5246714157344871,0
2020-03-27,Sunland,-1.9788454187380575,0
2020-03-27,Sylmar,-0.5674867921277734,0
2020-03-27,Tarzana,-0.403128110715617,0
2020-03-27,Torrance,-0.1545367344827531,0
2020-03-27,Tujunga,-1.204326525831221,0
2020-03-27,University Park,-0.9080183584597846,0
2020-03-27,Valley Glen,-0.33430150997641617,0
2020-03-27,Van Nuys,-0.285566233471891,0
2020-03-27,Venice,-0.49625236342665646,0
2020-03-27,Vermont Knolls,-1.2962250977346377,0
2020-03-27,Vermont Vista,-0.9802830712337655,0
2020-03-27,Vernon Central,-274.534515701547,0
2020-03-27,Walnut,-1.1415172388272397,0
2020-03-27,West Adams,-0.9570093143015511,0
2020-03-27,West Covina,-0.3709932228715334,0
2020-03-27,West Hills,-0.8124446250734163,0
2020-03-27,West Hollywood,0.725121545666788,0
2020-03-27,West Vernon,-169.1585088379056,0
2020-03-27,Westchester,-0.634372242070783,0
2020-03-27,Westlake,-0.4680922969204991,0
2020-03-27,Westwood,-0.42502757544281927,0
2020-03-27,Whittier,-0.4598202850478154,0
2020-03-27,Winnetka,-0.7051662634442123,0
2020-03-27,Woodland Hills,-0.26666996351686334,0
2020-03-28,Alhambra,-0.32200328099115444,0
2020-03-28,Altadena,-0.4671474848337678,0
2020-03-28,Arcadia,-0.4814371784622693,0
2020-03-28,Baldwin Hills,-0.8763861848353763,0
2020-03-28,Bellflower,-0.29153684343099645,0
2020-03-28,Beverly Hills,0.08522110442096031,0
2020-03-28,Beverlywood,-1.6718223378318597,0
2020-03-28,Boyle Heights,-0.33699417508882407,0
2020-03-28,Brentwood,0.8285312174717583,0
2020-03-28,Burbank,-0.27429383438756866,0
2020-03-28,Calabasas,-0.7915082939455432,0
2020-03-28,Canoga Park,-0.6413124827268076,0
2020-03-28,Carson,0.028275080086337723,0
2020-03-28,Castaic,-1.41045380664768,0
2020-03-28,Century City,-2.2168833790009974,0
2020-03-28,Cerritos,-0.6838466763975589,0
2020-03-28,Covina,-0.5984006067881406,0
2020-03-28,Crestview,-1.9317985071991313,0
2020-03-28,Culver City,-0.6015568775992396,0
2020-03-28,Del Rey,-0.4629087597204496,0
2020-03-28,Diamond Bar,-0.6035747889417684,0
2020-03-28,Downtown,-0.6793925746570645,0
2020-03-28,Eagle Rock,-0.7995860276640415,0
2020-03-28,East Hollywood,-0.4809142000401756,0
2020-03-28,East Los Angeles,-0.29384512654312483,0
2020-03-28,Echo Park,-0.7599338407987272,0
2020-03-28,El Segundo,-1.6655136600193068,0
2020-03-28,Encino,0.189836281456643,0
2020-03-28,Gardena,-0.5044185163873994,0
2020-03-28,Glendale,0.08045120083661565,0
2020-03-28,Glendora,-0.5813402705522616,0
2020-03-28,Granada Hills,-0.41945553586033607,0
2020-03-28,Hancock Park,-0.17433881522811692,0
2020-03-28,Hawthorne,-0.3391956110948821,0
2020-03-28,Hollywood,0.1399449593319615,0
2020-03-28,Hollywood Hills,0.28877190814919357,0
2020-03-28,Inglewood,-0.19553404905643978,0
2020-03-28,Koreatown,-0.3115283926269789,0
2020-03-28,La Canada Flintridge,-0.9515100047595038,0
2020-03-28,La Mirada,-0.5736227353808355,0
2020-03-28,La Verne,-0.9539568564721542,0
2020-03-28,Lake Balboa,-1.044914038510904,0
2020-03-28,Lakewood,-0.31311903188828255,0
2020-03-28,Lancaster,-0.01309220715498216,0
2020-03-28,Lawndale,-0.9227694383403393,0
2020-03-28,Lomita,-1.2585264084086853,0
2020-03-28,Los Feliz,-0.6246485700794183,0
2020-03-28,Lynwood,-0.38270738098236085,0
2020-03-28,Manhattan Beach,0.31191479139474815,0
2020-03-28,Mar Vista,-0.5598493524393642,0
2020-03-28,Melrose,2.057522967847759,1
2020-03-28,Miracle Mile,-1.189058719248772,0
2020-03-28,Monterey Park,-0.5266251230595206,0
2020-03-28,North Hollywood,-0.14001808553814005,0
2020-03-28,Northridge,-0.43892386267719247,0
2020-03-28,Palms,-0.24015082423127967,0
2020-03-28,Paramount,-0.5228984417979431,0
2020-03-28,Park La Brea,-0.3680774382900908,0
2020-03-28,Pasadena,-0.15377952177677348,0
2020-03-28,Playa Vista,-5.396468072343836,0
2020-03-28,Rancho Palos Verdes,-0.4920379808165309,0
2020-03-28,Redondo Beach,0.09842738865598473,0
2020-03-28,Reseda,-0.3782579343043247,0
2020-03-28,San Dimas,-0.9120643356759427,0
2020-03-28,San Fernando,-1.1704353811399903,0
2020-03-28,San Pedro,-0.3179447718354618,0
2020-03-28,Santa Clarita,0.05586668371166296,0
2020-03-28,Santa Monica,0.10713575675838798,0
2020-03-28,Sherman Oaks,0.0087728488969158,0
2020-03-28,Silverlake,-0.29353077083564727,0
2020-03-28,South Gate,-0.3817173906797983,0
2020-03-28,South Pasadena,-1.0555879242408002,0
2020-03-28,South Whittier,-0.5756398533270589,0
2020-03-28,Stevenson Ranch,-2.787105193255677,0
2020-03-28,Studio City,-0.420429725484644,0
2020-03-28,Sun Valley,-0.4718010501231933,0
2020-03-28,Sunland,-1.7614372304481016,0
2020-03-28,Sylmar,-0.4676687248264453,0
2020-03-28,Tarzana,-0.09718012064126082,0
2020-03-28,Temple City,-0.8432840096892394,0
2020-03-28,Torrance,-0.008889802790071418,0
2020-03-28,Tujunga,-1.0508585527519057,0
2020-03-28,University Park,-0.8170665946434426,0
2020-03-28,Valley Glen,-0.5432401798838918,0
2020-03-28,Van Nuys,-0.35305859595071026,0
2020-03-28,Venice,-0.38749226369063017,0
2020-03-28,Vermont Knolls,-1.2755899095767749,0
2020-03-28,Vermont Vista,-1.1265379736828962,0
2020-03-28,Vernon Central,-205.49498829546323,0
2020-03-28,Walnut,-1.0295089256561487,0
2020-03-28,West Adams,-0.8614607645833141,0
2020-03-28,West Covina,-0.30249138033169515,0
2020-03-28,West Hills,-0.6862367934148706,0
2020-03-28,West Hollywood,1.1426263264008545,0
2020-03-28,West Vernon,-126.51993306081117,0
2020-03-28,Westchester,-0.46818503229417674,0
2020-03-28,Westlake,-0.44017782901400243,0
2020-03-28,Westwood,-0.1667232003928185,0
2020-03-28,Whittier,-0.40153980876064804,0
2020-03-28,Wilmington,-0.5823467997040984,0
2020-03-28,Winnetka,-0.6485372587398149,0
2020-03-28,Woodland Hills,-0.17031733003526175,0
2020-03-29,Agoura Hills,-1.0325130530471263,0
2020-03-29,Alhambra,-0.32699008020702947,0
2020-03-29,Altadena,-0.5581508360661708,0
2020-03-29,Arcadia,-0.5412195719255853,0
2020-03-29,Baldwin Hills,-0.881409466874675,0
2020-03-29,Bellflower,-0.31150155542437313,0
2020-03-29,Beverly Hills,-0.07541513701267158,0
2020-03-29,Beverlywood,-2.7881734152629876,0
2020-03-29,Boyle Heights,-0.3291226297802658,0
2020-03-29,Brentwood,0.32963151714534017,0
2020-03-29,Burbank,-0.15208632116450974,0
2020-03-29,Calabasas,-0.8995424556189203,0
2020-03-29,Canoga Park,-0.7172743641620011,0
2020-03-29,Carson,0.06872254038623869,0
2020-03-29,Castaic,-1.7531688241453673,0
2020-03-29,Century City,-3.5746102268114757,0
2020-03-29,Cerritos,-0.8030168052754466,0
2020-03-29,Cloverdale/Cochran,-4.3704520900585235,0
2020-03-29,Compton,-0.26276502120905465,0
2020-03-29,Covina,-0.7257907627044041,0
2020-03-29,Crestview,-3.3448054978883976,0
2020-03-29,Culver City,-0.7595748676570335,0
2020-03-29,Del Rey,-0.6692537836795266,0
2020-03-29,Diamond Bar,-0.7056762522445914,0
2020-03-29,Downtown,-0.7397012001771682,0
2020-03-29,Duarte,-1.6655350194784981,0
2020-03-29,Eagle Rock,-0.8085836086334043,0
2020-03-29,East Hollywood,-0.4929389518139818,0
2020-03-29,East Los Angeles,-0.25657029304000994,0
2020-03-29,Echo Park,-0.9504835719010579,0
2020-03-29,El Segundo,-2.186131058078494,0
2020-03-29,Encino,0.164734502305264,0
2020-03-29,Exposition Park,-1.0269184437512677,0
2020-03-29,Gardena,-0.5425474551455682,0
2020-03-29,Glendale,0.13780155644935474,0
2020-03-29,Glendora,-0.6930744516034238,0
2020-03-29,Granada Hills,-0.5623499864628475,0
2020-03-29,Hancock Park,-0.4056953017785683,0
2020-03-29,Hawthorne,-0.3057022757721604,0
2020-03-29,Hollywood,0.23416089339144164,0
2020-03-29,Hollywood Hills,0.27032159977595577,0
2020-03-29,Hyde Park,-0.9857464293759097,0
2020-03-29,Inglewood,-0.17205843242537142,0
2020-03-29,Koreatown,-0.31991075918012774,0
2020-03-29,La Canada Flintridge,-1.216626603169126,0
2020-03-29,La Mirada,-0.6738095702974215,0
2020-03-29,La Verne,-1.1756993097202972,0
2020-03-29,Lake Balboa,-1.1593140363835628,0
2020-03-29,Lakewood,-0.3012750818830881,0
2020-03-29,Lancaster,-0.055911262525719346,0
2020-03-29,Lawndale,-1.0765387641969428,0
2020-03-29,Lincoln Heights,-1.2935149328235915,0
2020-03-29,Lomita,-1.9150294958069891,0
2020-03-29,Los Feliz,-0.838783158930292,0
2020-03-29,Lynwood,-0.30822275955164774,0
2020-03-29,Manhattan Beach,0.08374496354486154,0
2020-03-29,Mar Vista,-0.739485064617167,0
2020-03-29,Melrose,2.067738617193348,1
2020-03-29,Miracle Mile,-2.635656067157585,0
2020-03-29,Monterey Park,-0.590075051271458,0
2020-03-29,North Hollywood,-0.004082335701853827,0
2020-03-29,Northridge,-0.47717532458870443,0
2020-03-29,Palmdale,-0.2722048290465245,0
2020-03-29,Palms,-0.29978843870872013,0
2020-03-29,Paramount,-0.6090373158502203,0
2020-03-29,Park La Brea,-0.3890618377271277,0
2020-03-29,Pasadena,-0.18353850073949296,0
2020-03-29,Playa Vista,-9.602550751132384,0
2020-03-29,Rancho Palos Verdes,-0.6309240815648228,0
2020-03-29,Redondo Beach,0.07742738804879454,0
2020-03-29,Reseda,-0.385421765692596,0
2020-03-29,San Dimas,-1.0661912763423251,0
2020-03-29,San Fernando,-1.5404699850530355,0
2020-03-29,San Pedro,-0.34153349580843173,0
2020-03-29,Santa Clarita,0.12383460185518247,0
2020-03-29,Santa Monica,0.2516566663113846,0
2020-03-29,Sherman Oaks,0.040439131160976534,0
2020-03-29,Silverlake,-0.4054081938491083,0
2020-03-29,South Gate,-0.29192784632334606,0
2020-03-29,South Park,-0.9944970077753846,0
2020-03-29,South Pasadena,-1.3622726532083747,0
2020-03-29,South Whittier,-0.6291971863278353,0
2020-03-29,Stevenson Ranch,-3.8307728072564085,0
2020-03-29,Studio City,-0.6500976501419413,0
2020-03-29,Sun Valley,-0.48224207892215626,0
2020-03-29,Sunland,-2.2501747696483254,0
2020-03-29,Sylmar,-0.4329242915376121,0
2020-03-29,Tarzana,-0.1553092502134798,0
