,ZIP,date_start - date_end,Predicted new cases,cases/population
338,90045,2020/4/26 - 2020/4/29,0.0774894,0.018831417147405046
339,90045,2020/4/27 - 2020/4/30,0.26936272,0.06546033144593978
340,90045,2020/4/28 - 2020/5/1,0.22494902,0.054666946260441655
341,90045,2020/4/29 - 2020/5/2,-0.44831204,-0.10894846634029423
342,90045,2020/4/30 - 2020/5/3,0.43669203,0.10612457878387013
343,90045,2020/5/1 - 2020/5/4,2.114733,0.5139208682417918
344,90045,2020/5/2 - 2020/5/5,1.5574685,0.37849486828742623
345,90045,2020/5/3 - 2020/5/6,0.22294335,0.05417953065025198
346,90045,2020/5/4 - 2020/5/7,0.88534504,0.21515590700912818
347,90045,2020/5/5 - 2020/5/8,0.24446328,0.05940928815848025
348,90045,2020/5/6 - 2020/5/9,-1.0220288,-0.248372695284303
349,90045,2020/5/7 - 2020/5/10,-0.8335375,-0.20256568057015212
350,90045,2020/5/8 - 2020/5/11,0.11953236,0.029048667434597452
351,90045,2020/5/9 - 2020/5/12,0.15177888,0.03688519205362551
352,90045,2020/5/10 - 2020/5/13,0.3735736,0.09078558439959176
353,90045,2020/5/11 - 2020/5/14,-0.27961558,-0.06795197478325452
354,90069,2020/3/22 - 2020/3/25,5.09356,2.49256678189921
355,90069,2020/3/23 - 2020/3/26,5.329724,2.60813498164495
356,90069,2020/3/24 - 2020/3/27,5.85826,2.8667776631877273
357,90069,2020/3/25 - 2020/3/28,6.0194936,2.9456782871859564
358,90069,2020/3/26 - 2020/3/29,5.645567,2.7626948570137593
359,90069,2020/3/27 - 2020/3/30,5.022549,2.457817055235756
360,90069,2020/3/28 - 2020/3/31,4.486584,2.1955391174719625
361,90069,2020/3/29 - 2020/4/1,5.5433583,2.7126784076135317
362,90069,2020/3/30 - 2020/4/2,3.2734764,1.6018969230381177
363,90069,2020/3/31 - 2020/4/3,3.3204262,1.6248721437055207
364,90069,2020/4/1 - 2020/4/4,3.2773185,1.6037770871693737
365,90069,2020/4/2 - 2020/4/5,4.4480944,2.176703874715418
366,90069,2020/4/3 - 2020/4/6,4.9698386,2.432022813424114
367,90069,2020/4/4 - 2020/4/7,4.057383,1.9855067582360275
368,90069,2020/4/5 - 2020/4/8,5.4073057,2.646100179822981
369,90069,2020/4/6 - 2020/4/9,2.452114,1.1999579668336724
370,90069,2020/4/7 - 2020/4/10,1.3147409,0.6433769983973455
371,90069,2020/4/8 - 2020/4/11,3.2009044,1.566383346882431
372,90069,2020/4/9 - 2020/4/12,2.9984539,1.4673128727744196
373,90069,2020/4/10 - 2020/4/13,2.2109246,1.0819303280629942
374,90069,2020/4/11 - 2020/4/14,-0.54311377,-0.2657762505998231
375,90069,2020/4/12 - 2020/4/15,0.548588,0.2684550907199413
376,90069,2020/4/13 - 2020/4/16,-0.06266212,-0.03066411410971787
377,90069,2020/4/14 - 2020/4/17,0.021624165,0.010581925449378337
378,90069,2020/4/15 - 2020/4/18,0.8127748,0.3977366172803595
379,90069,2020/4/16 - 2020/4/19,0.6612489,0.32358645576120504
380,90069,2020/4/17 - 2020/4/20,1.6189709,0.7922539128806849
381,90069,2020/4/18 - 2020/4/21,2.9816906,1.459109686918471
382,90069,2020/4/19 - 2020/4/22,1.6430241,0.804024510375439
383,90069,2020/4/20 - 2020/4/23,1.8816166,0.9207813028662719
384,90069,2020/4/21 - 2020/4/24,1.1962354,0.5853855729482271
385,90069,2020/4/22 - 2020/4/25,0.66033924,0.32314129496425764
386,90069,2020/4/23 - 2020/4/26,1.5682378,0.7674273459871095
387,90069,2020/4/24 - 2020/4/27,0.46413213,0.227126072985577
388,90069,2020/4/25 - 2020/4/28,0.40459096,0.19798921669553304
389,90069,2020/4/26 - 2020/4/29,-0.5417014,-0.26508508756454163
390,90069,2020/4/27 - 2020/4/30,0.01028691,0.005033966459211756
